Voltage,Temperature,Frequency(v(out)
7.2,27,1045532.826
7.2,28,1052371.4
7.2,29,1059112.244
7.2,30,1065835.978
7.2,31,1073825.772
7.2,32,1080812.42
7.2,33,1087563.504
7.2,34,1096145.164
7.2,35,1103363.904
7.2,36,1111320.023
7.2,37,1119800.971
7.2,38,1128270.588
7.2,39,1136974.162
7.2,40,1147016.319
7.2,41,1154231.898
7.2,42,1164458.194
7.2,43,1174301.717
7.2,44,1184492.217
7.2,45,1195375.369
7.2,46,1204996.096
7.2,47,1216459.475
7.2,48,1226943.623
7.2,49,1238470.402
7.2,50,1250890.762
7.2,51,1263308.503
7.2,52,1275532.338
7.2,53,1289748.786
7.2,54,1303192.03
7.2,55,1317220.379
7.2,56,1331741.508
7.2,57,1346445.817
7.2,58,1362977.98
7.2,59,1377830.925
7.2,60,1394371.73
7.3,20,1002270.065
7.3,21,1008140.59
7.3,22,1013684.545
7.3,23,1019968.225
7.3,24,1026742.815
7.3,25,1032866.946
7.3,26,1039274.895
7.3,27,1045366.886
7.3,28,1052244.856
7.3,29,1059043.564
7.3,30,1065913.813
7.3,31,1072780.777
7.3,32,1080607.348
7.3,33,1088029.154
7.3,34,1095574.651
7.3,35,1103385.224
7.3,36,1111185.589
7.3,37,1119730.443
7.3,38,1128736.228
7.3,39,1136479.134
7.3,40,1146495.326
7.3,41,1154473.582
7.3,42,1163907.604
7.3,43,1174207.689
7.3,44,1184612.534
7.3,45,1194704.23
7.3,46,1205588.97
7.3,47,1216824.749
7.3,48,1226818.039
7.3,49,1239154.029
7.3,50,1250605.659
7.3,51,1262644.44
7.3,52,1276830.375
7.3,53,1288235.122
7.3,54,1302362.571
7.3,55,1316843.159
7.3,56,1331723.576
7.3,57,1346359.963
7.3,58,1362368.461
7.3,59,1377747.382
7.3,60,1394092.305
7.4,20,1002132.905
7.4,21,1008085.473
7.4,22,1013955.465
7.4,23,1020215.204
7.4,24,1026382.055
7.4,25,1032667.471
7.4,26,1039108.764
7.4,27,1045063.145
7.4,28,1052160.046
7.4,29,1058691.964
7.4,30,1066052.887
7.4,31,1072702.174
7.4,32,1079965.416
7.4,33,1087948.726
7.4,34,1095170.148
7.4,35,1103280.235
7.4,36,1111563.585
7.4,37,1119732.223
7.4,38,1128590.385
7.4,39,1136797.286
7.4,40,1145256.747
7.4,41,1155682.495
7.4,42,1163815.021
7.4,43,1174019.695
7.4,44,1184055.743
7.4,45,1194084.056
7.4,46,1205837.26
7.4,47,1216372.605
7.4,48,1227571.158
7.4,49,1238892.264
7.4,50,1250402.139
7.4,51,1262205.815
7.4,52,1276705.126
7.4,53,1288253.138
7.4,54,1301679.987
7.4,55,1316477.04
7.4,56,1330999.977
7.4,57,1346353.795
7.4,58,1362415.469
7.4,59,1378024.928
7.4,60,1395001.014
7.5,20,1002237.269
7.5,21,1008047.694
7.5,22,1014179.689
7.5,23,1020483.746
7.5,24,1025736.939
7.5,25,1032263.444
7.5,26,1038890.809
7.5,27,1044936.018
7.5,28,1052034.661
7.5,29,1058412.864
7.5,30,1065426.511
7.5,31,1072953.143
7.5,32,1079730.891
7.5,33,1087562.451
7.5,34,1095816.687
7.5,35,1103697.38
7.5,36,1111716.021
7.5,37,1119651.013
7.5,38,1127854.029
7.5,39,1137324.539
7.5,40,1146751.892
7.5,41,1155773.508
7.5,42,1164333.077
7.5,43,1173753.103
7.5,44,1183698.057
7.5,45,1193871.468
7.5,46,1205283.199
7.5,47,1215723.862
7.5,48,1227463.688
7.5,49,1238607.409
7.5,50,1250046.491
7.5,51,1262783.264
7.5,52,1275963.168
7.5,53,1288345.316
7.5,54,1302120.936
7.5,55,1315953.916
7.5,56,1331520.928
7.5,57,1346381.926
7.5,58,1363316.648
7.5,59,1378310.142
7.5,60,1395560.446
7.6,20,1002338.903
7.6,21,1008003.653
7.6,22,1014005.569
7.6,23,1020222.666
7.6,24,1025997.612
7.6,25,1031869.237
7.6,26,1038648.462
7.6,27,1045100.894
7.6,28,1051877.084
7.6,29,1058690.957
7.6,30,1065094.055
7.6,31,1073264.705
7.6,32,1081038.222
7.6,33,1087346.679
7.6,34,1095588.142
7.6,35,1103568.429
7.6,36,1111285.823
7.6,37,1119034.484
7.6,38,1127692.135
7.6,39,1137486.657
7.6,40,1146498.341
7.6,41,1155248.42
7.6,42,1164942.949
7.6,43,1173468.376
7.6,44,1183490.058
7.6,45,1193725.382
7.6,46,1204658.583
7.6,47,1215047.489
7.6,48,1227176.887
7.6,49,1238288.442
7.6,50,1249969.397
7.6,51,1262950.047
7.6,52,1275088.35
7.6,53,1288480.689
7.6,54,1302464.613
7.6,55,1316110.04
7.6,56,1331491.216
7.6,57,1346312.789
7.6,58,1363172.931
7.6,59,1378452.941
7.6,60,1394405.905
7.7,20,1002246.905
7.7,21,1007926.76
7.7,22,1013612.991
7.7,23,1019810.146
7.7,24,1025915.143
7.7,25,1031417.39
7.7,26,1038399.023
7.7,27,1045143.048
7.7,28,1051666.339
7.7,29,1058621.749
7.7,30,1065138.673
7.7,31,1073270.344
7.7,32,1080909.354
7.7,33,1087585.785
7.7,34,1095292.449
7.7,35,1103408.862
7.7,36,1111145.624
7.7,37,1118967.391
7.7,38,1127517.401
7.7,39,1137015.067
7.7,40,1146138.305
7.7,41,1154886.088
